2,08;-0,0112106;13952;-14,5244;197,314;37,7233;74,9611;351,503;-878,978;0;2,08;23742800
2,12;-0,0112096;13956;-15,1215;197,032;37,7792;75,4052;351,705;-878,508;0;2,12;23743200
2,16;-0,0112086;13958;15,8363;173,935;10,6527;66,6694;325,466;-921,38;0;2,16;23743600
2,2;-0,0112077;13958;15,8363;173,935;10,6527;66,6694;325,466;-921,38;1;2,2;23744000
2,24;-0,0112068;13965;-3,8471;178,363;23,8631;75,4938;338,495;-897,433;1;2,24;23744400
2,28;-0,0112058;13968;561,695;-103,808;-456,319;-90,6589;-146,566;-1036,15;1;2,28;23744800
2,32;-0,011205;13968;561,695;-103,808;-456,319;-90,6589;-146,566;-1036,15;1;2,32;23745200
2,36;-0,0112041;13970;340,621;1,36435;-272,544;-32,4954;40,1413;-983,51;1;2,36;23745600
2,4;-0,0112033;13974;80,8305;115,463;-56,236;16,9117;254,215;-939,783;1;2,4;23746000
2,44;-0,0112025;13978;3706,75;1168,39;1245,97;-139,693;1252,24;2162,44;1;2,44;23746400
2,48;-0,0112017;13984;1898,25;784,752;703,604;-57,9701;872,427;1335,93;1;2,48;23746800
2,52;-0,0112009;13987;2460,26;-907,824;-1180,2;-447,73;-851,816;-2302,01;1;2,52;23747200
2,56;-0,0112002;13988;2556,1;-1200,21;-1504,82;-531,634;-1149,79;-2930,55;1;2,56;23747600
2,6;-0,0111995;13988;2556,1;-1200,21;-1504,82;-531,634;-1149,79;-2930,55;1;2,6;23748000
2,64;-0,0111988;13988;2556,1;-1200,21;-1504,82;-531,634;-1149,79;-2930,55;1;2,64;23748400
2,68;-0,0111982;13988;2556,1;-1200,21;-1504,82;-531,634;-1149,79;-2930,55;1;2,68;23748800
2,72;-0,0111975;13988;2556,1;-1200,21;-1504,82;-531,634;-1149,79;-2930,55;1;2,72;23749200
2,76;-0,0111969;13988;2556,1;-1200,21;-1504,82;-531,634;-1149,79;-2930,55;1;2,76;23749600
2,8;-0,0111964;13988;2556,1;-1200,21;-1504,82;-531,634;-1149,79;-2930,55;1;2,8;23750000
2,84;-0,0111958;13988;2556,1;-1200,21;-1504,82;-531,634;-1149,79;-2930,55;1;2,84;23750400
2,88;-0,0111953;13988;2556,1;-1200,21;-1504,82;-531,634;-1149,79;-2930,55;1;2,88;23750800
2,92;-0,0111948;13988;2556,1;-1200,21;-1504,82;-531,634;-1149,79;-2930,55;1;2,92;23751200
2,96;-0,0111944;13988;2556,1;-1200,21;-1504,82;-531,634;-1149,79;-2930,55;1;2,96;23751600
3;-0,0111939;13988;2556,1;-1200,21;-1504,82;-531,634;-1149,79;-2930,55;1;3;23752000
3,04;-0,0111935;13991;981,927;-359,956;-557,113;-166,173;-241,684;-1667,47;1;3,04;23752400
3,08;-0,0111931;13995;266,304;23,2066;-123,992;-18,5138;171,458;-1091,54;1;3,08;23752800
3,12;-0,0111928;13999;67,5384;120,916;-8,27587;16,0365;272,874;-964,955;1;3,12;23753200
3,16;-0,0111924;14007;6,53699;152,456;26,3114;38,2967;307,127;-907,209;1;3,16;23753600
3,2;-0,0111921;14007;6,53699;152,456;26,3114;38,2967;307,127;-907,209;0;3,2;23754000
3,24;-0,0111918;14014;-6,1305;158,422;32,3283;46,6122;315,418;-891,982;0;3,24;23754400
3,28;-0,0111915;14018;-10,0689;160,363;34,763;49,0067;318,107;-885,842;0;3,28;23754800
3,32;-0,0111913;14025;-14,7176;162,48;37,8301;51,6218;320,696;-878,942;0;3,32;23755200
3,36;-0,0111911;14029;-16,6986;162,768;38,7155;52,5919;321,564;-877,384;0;3,36;23755600
3,4;-0,0111909;14033;-18,5541;162,275;39,0406;53,8749;322,139;-878,062;0;3,4;23756000
3,44;-0,0111907;14037;-20,0949;161,853;39,4083;54,8745;322,815;-878,092;0;3,44;23756400
3,48;-0,0111905;14041;-21,321;161,163;40,0157;55,4501;322,932;-878,25;0;3,48;23756800
3,52;-0,0111904;14048;-22,9592;160,564;41,2202;56,0795;323,364;-876,922;0;3,52;23757200
3,56;-0,0111902;14052;-23,8791;160,204;41,6774;56,4057;323,54;-876,495;0;3,56;23757600
3,6;-0,0111901;14056;-24,7558;159,696;41,9458;56,6816;323,574;-876,756;0;3,6;23758000
3,64;-0,01119;14063;-26,2858;158,764;42,1245;57,3848;323,775;-877,578;0;3,64;23758400
3,68;-0,01119;14067;-27,0343;158,235;42,3319;57,6163;323,784;-877,924;0;3,68;23758800
3,72;-0,0111899;14071;-27,7182;157,762;42,5253;57,8944;323,94;-878,344;0;3,72;23759200
3,76;-0,0111899;14075;-28,2859;157,224;42,8184;57,9551;323,877;-878,568;0;3,76;23759600
3,8;-0,0111899;14082;-29,2436;156,348;43,2853;57,9498;323,917;-878,658;0;3,8;23760000
